store_id,name,food_type,avg_rating,menu_items,business_hours,price_tier,price_range_rm,tags,is_synthetic_metadata
s1wn,dubuyo (tropicana gardens mall),korean,4.6,"[""Jajangmyeon"", ""Korean Fried Chicken"", ""Tteokbokki"", ""Kimchi Fried Rice"", ""Soondubu Jjigae"", ""Bulgogi Rice Bowl""]",Mon-Sun 10:00-20:00,mid,RM15-RM35,"cuisine:korean, price:mid, dine-in, takeaway, family-friendly",True
cmtw,salad atelier (tropicana gardens mall),asian,4.3,"[""Fresh Juice"", ""Dessert Special"", ""House Noodle"", ""Chicken Chop"", ""Soup of the Day"", ""Seasonal Vegetables""]",Mon-Sat 11:00-22:00,premium,RM30-RM70,"cuisine:default, price:premium, quick-bites, family-friendly, halal-friendly",True
t6ph,nyonya cendol,malaysian,4.5,"[""Nasi Lemak Special"", ""Laksa Utara"", ""Nasi Goreng Kampung"", ""Roti Canai"", ""Mee Goreng Mamak"", ""Teh Tarik""]",Mon-Sun 10:00-20:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, halal-friendly, takeaway, dine-in",True
kb6t,bread history (sunway giza mall),cakes,4.5,"[""Soup of the Day"", ""House Noodle"", ""Chicken Chop"", ""Dessert Special"", ""Fresh Juice"", ""Spicy Stir Fry""]",Mon-Sat 10:00-20:00,budget,RM8-RM20,"cuisine:default, price:budget, takeaway, delivery, dine-in",True
cogb,ayam penyet d'kota (tropicana gardens mall),ayam penyet,4.6,"[""Fresh Juice"", ""Seasonal Vegetables"", ""Chef Signature Rice"", ""House Noodle"", ""Dessert Special"", ""Soup of the Day""]",Mon-Sun 16:00-01:00,mid,RM15-RM35,"cuisine:default, price:mid, spicy, halal-friendly, quick-bites, late-night",True
vaer,juek xing kopi,chinese,4.7,"[""Yong Tau Foo"", ""Kung Pao Chicken"", ""Claypot Chicken Rice"", ""Char Kuey Teow"", ""Loh Mee"", ""Hot and Sour Soup""]",Mon-Fri 10:00-20:00,mid,RM15-RM35,"cuisine:chinese, price:mid, dine-in, delivery, spicy",True
m9ls,hameediyah restaurant,nasi kandar,4.3,"[""Sambal Sotong"", ""Teh Tarik"", ""Ayam Berempah"", ""Nasi Goreng Kampung"", ""Roti Canai"", ""Mee Goreng Mamak""]",Mon-Sun 12:00-23:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, family-friendly, quick-bites, takeaway, late-night",True
v1ti,soong kee kota damansara,noodles,4.6,"[""Beef Noodle Soup"", ""Pan Mee"", ""Barley Drink"", ""Dry Wantan Mee"", ""Fried Mee Hoon"", ""Curry Mee""]",Mon-Sat 12:00-23:00,mid,RM15-RM35,"cuisine:noodles, price:mid, dine-in, quick-bites, delivery, late-night",True
r6fa,tasty porridge (kota damansara),porridge,4.7,"[""Spicy Stir Fry"", ""Seasonal Vegetables"", ""Dessert Special"", ""Fresh Juice"", ""Chicken Chop"", ""House Noodle""]",Mon-Sun 12:00-23:00,mid,RM15-RM35,"cuisine:default, price:mid, dine-in, halal-friendly, family-friendly, late-night",True
jb12,restoran kampung pak kopi kaw 濃的傳人,chinese,4.6,"[""Loh Mee"", ""Wantan Mee"", ""Char Kuey Teow"", ""Sweet and Sour Fish"", ""Kung Pao Chicken"", ""Yong Tau Foo""]",Tue-Sun 09:00-18:00,premium,RM30-RM70,"cuisine:chinese, price:premium, takeaway, family-friendly, delivery",True
p0ic,burger king (kota damansara),burgers,4.6,"[""Onion Rings"", ""Spicy Chicken Burger"", ""Mushroom Swiss Burger"", ""Double Cheese Burger"", ""Classic Beef Burger"", ""Iced Lemon Tea""]",Tue-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:burgers, price:premium, dine-in, spicy, family-friendly",True
i3ar,和樂屋 warakuya japanese restaurant (kota damansara),japanese,4.4,"[""Ramen Shoyu"", ""Teriyaki Bento"", ""Unagi Don"", ""Tempura Udon"", ""Salmon Don"", ""Chicken Katsu Curry""]",Mon-Sun 09:00-18:00,budget,RM8-RM20,"cuisine:japanese, price:budget, delivery, family-friendly, quick-bites",True
plbj,waneeda tomyam,malaysian,4.5,"[""Roti Canai"", ""Nasi Goreng Kampung"", ""Sambal Sotong"", ""Teh Tarik"", ""Nasi Lemak Special"", ""Laksa Utara""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, family-friendly, dine-in, takeaway",True
r49e,classic taiwan braised pork rice (kota damansara),chinese,4.0,"[""Claypot Chicken Rice"", ""Wantan Mee"", ""Hot and Sour Soup"", ""Kung Pao Chicken"", ""Loh Mee"", ""Yong Tau Foo""]",Mon-Sun 09:00-18:00,premium,RM30-RM70,"cuisine:chinese, price:premium, family-friendly, delivery, spicy",True
cso0,moo-ka-ta krua thai (kota damansara),asian,4.8,"[""Chicken Chop"", ""Fresh Juice"", ""Spicy Stir Fry"", ""Soup of the Day"", ""Chef Signature Rice"", ""House Noodle""]",Mon-Fri 10:00-20:00,mid,RM15-RM35,"cuisine:default, price:mid, spicy, takeaway, delivery",True
ldz4,restoran hock kee ulu yam loh mee (kota damansara),noodles,4.3,"[""Barley Drink"", ""Curry Mee"", ""Fried Mee Hoon"", ""Pan Mee"", ""Beef Noodle Soup"", ""Dry Wantan Mee""]",Mon-Sun 10:00-20:00,premium,RM30-RM70,"cuisine:noodles, price:premium, halal-friendly, takeaway, quick-bites",True
t0v0,omega pork noodle (kota damansara),chinese,4.7,"[""Yong Tau Foo"", ""Wantan Mee"", ""Kung Pao Chicken"", ""Sweet and Sour Fish"", ""Claypot Chicken Rice"", ""Loh Mee""]",Mon-Sun 12:00-23:00,premium,RM30-RM70,"cuisine:chinese, price:premium, delivery, quick-bites, dine-in, late-night",True
m8do,khalifah bistro (dataran sunway),roti canai,4.6,"[""Satay Set"", ""Teh Tarik"", ""Ayam Berempah"", ""Roti Canai"", ""Laksa Utara"", ""Nasi Goreng Kampung""]",Tue-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, dine-in, family-friendly, quick-bites",True
q2yu,humairah original kelantan,malaysian,4.4,"[""Sambal Sotong"", ""Mee Goreng Mamak"", ""Teh Tarik"", ""Ikan Bakar"", ""Laksa Utara"", ""Ayam Berempah""]",Tue-Sun 11:00-22:00,budget,RM8-RM20,"cuisine:malaysian, price:budget, family-friendly, quick-bites, takeaway",True
qrec,nasi kandar zayan bistro,nasi kandar,4.3,"[""Sambal Sotong"", ""Roti Canai"", ""Laksa Utara"", ""Ayam Berempah"", ""Teh Tarik"", ""Nasi Lemak Special""]",Mon-Sun 10:00-20:00,budget,RM8-RM20,"cuisine:malaysian, price:budget, dine-in, family-friendly, delivery",True
